124.834,0,3
124.836,0.06,3
124.839,0.12,3
124.843,0.18,3
124.849,0.24,3
124.855,0.3,3
124.863,0.36,3
124.872,0.42,3
124.882,0.48,3
124.894,0.54,3
124.906,0.6,3
124.92,0.66,3
124.935,0.72,3
124.951,0.78,3
124.969,0.84,3
124.987,0.9,3
125.007,0.96,3
125.028,1.02,3
125.05,1.08,3
125.074,1.14,3
125.098,1.2,3
125.124,1.26,3
125.151,1.32,3
125.179,1.38,3
125.209,1.44,3
125.239,1.5,3
125.271,1.56,3
125.304,1.62,3
125.338,1.68,3
125.374,1.74,3
125.41,1.8,3
125.448,1.86,3
125.487,1.92,3
125.527,1.98,3
125.569,2.04,3
125.611,2.1,3
125.655,2.16,3
125.7,2.22,3
125.746,2.28,3
125.794,2.34,3
125.842,2.4,3
125.892,2.46,3
125.943,2.52,3
125.995,2.58,3
126.049,2.64,3
126.103,2.7,3
126.159,2.76,3
126.216,2.82,3
126.274,2.88,3
126.334,2.94,3
126.394,2.99542,3
126.456,3.05542,3
126.519,3.11542,3
126.583,3.17542,3
126.648,3.23542,3
126.715,3.29542,3
126.782,3.35542,3
126.851,3.41542,3
126.921,3.47542,3
126.993,3.53542,3
127.065,3.59542,3
127.139,3.65542,3
127.214,3.71542,3
127.29,3.77542,3
127.367,3.83542,3
127.446,3.89542,3
127.525,3.95542,3
127.606,4.01542,3
127.688,4.07542,3
127.772,4.13542,3
127.856,4.19542,3
127.942,4.25542,3
128.029,4.31542,3
128.117,4.37542,3
128.206,4.43542,3
128.297,4.49542,3
128.389,4.55542,3
128.481,4.61542,3
128.576,4.67542,3
128.671,4.73542,3
128.767,4.79542,3
128.865,4.85542,3
128.964,4.91542,3
129.064,4.97542,3
129.165,5.03542,3
129.268,5.09542,3
129.372,5.15542,3
129.477,5.21542,3
129.583,5.27542,3
129.69,5.33542,3
129.798,5.39542,3
129.908,5.45542,3
130.019,5.51542,3
130.131,5.57542,3
130.244,5.63542,3
130.359,5.69542,3
130.475,5.75542,3
130.592,5.81542,3
130.71,5.87542,3
130.829,5.93542,3
130.95,5.99542,3
131.071,6.05542,3
